k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
256,256,25181,2097152,0.1047234982252121,2,36,2220.6726,2220.6333,99.9982,37,23,1,27
256,256,25857,2097152,0.10671652853488922,2,37,2876.1465,2876.1035,99.9985,97,70,1,27
256,256,26533,2097152,0.10669976472854614,2,38,2705.4791,2705.4355,99.9984,49,29,1,27
256,256,27209,2097152,0.1074615865945816,2,39,3008.7232,3008.6797,99.9986,37,21,1,27
256,256,27885,2097152,0.10593608021736145,2,40,3037.0938,3037.0498,99.9986,18,8,1,27
256,256,28561,2097152,0.10662712156772614,2,41,2748.3365,2748.2937,99.9984,38,23,1,27
256,256,29237,2097152,0.10512396693229675,2,42,2797.3718,2797.3286,99.9985,40,23,1,27
256,256,29913,2097152,0.10486692190170288,2,43,2619.1435,2619.0962,99.9982,32,17,1,27
256,256,30589,2097152,0.10685808956623077,2,44,2895.2959,2895.2522,99.9985,28,4,1,27
256,256,31265,2097152,0.1047234982252121,2,45,3179.4918,3179.4468,99.9986,15,2,1,27
256,256,31941,2097152,0.10580569505691528,2,46,3415.0761,3415.0293,99.9986,19,3,1,27
256,256,32617,2097152,0.1055598258972168,2,47,3160.0165,3159.9727,99.9986,12,5,1,27
